trigger,response
0,"Hi, How was your week?"
I guess,"You guess? Sounds like you’re not sure it was okay. Can you tell me more about that?"
"and guess who was there","Hmm …tell me who was there?"
"Melissa my ex-girlfriend","How did seeing her make you feel?"
"to another guy","Hmm… So you felt angry because you saw her talking to another guy. Was that your initial sight of her when you saw her talking to another guy?"
"whatever","Tell me more."
"they were flirting or something","It sounds like you were probably feeling a little jealous."
"yes","A lot of people would feel that way. Was there more to your weekend that you wanted to talk about?"
"you know.","Yeah. How do you feel right now?"
"and that’s what you need to do","It’s very hard to lose your significant other and then see her with another person but I’m glad that you’re feeling more relaxed now."
"to talk to you","That's a relief."